Tweet_count,Username,Location,Created At,Likes,Text
3862,CricTracker,"Bengaluru, India",Tue Nov 26 12:46:37 +0000 2024,73,"Gujarat Titans Secure the Best with Big Buys in IPL 2025 Auction

#IPLAuction2025 #GujaratTitans https://t.co/4yIn9gQS1Y"
3863,Deccan Gladiators,"Dubai, United Arab Emirates",Mon Nov 25 12:42:30 +0000 2024,6,"Gladiator @josbuttler joins forces with #GujaratTitans 💥

#TATAIPLAuction #TATAIPL #DeccanDilSe #josbuttler https://t.co/EAmDU58a6F"
3864,Crictoday,India ,Tue Nov 26 09:14:46 +0000 2024,0,"GT squad for IPL 2025.
#GujaratTitans #shubhmangill #IPLAuction2025 https://t.co/GNPm59VPrD"
3865,JioCinema,India,Mon Nov 25 18:29:22 +0000 2024,253,"Titans aavi gaya che! 💪🏻

A power-packed squad with strength in every department, #GujaratTitans mean business for #TATAIPL2025! 🔥

 #TATAIPLAuction #IPLAuctionOnJioStar @gujarat_titans https://t.co/59rA1XbutU"
3866,amitava,Kolkata,Thu Nov 28 15:22:29 +0000 2024,1,"IPL2025 : All Squad analysis in brief https://t.co/76l32mYC7B

#IPLAuction  #IPLAuction2025 #IPLretention #IPLRetention2025 #IPL2025 #IPLauctions2025 #MumbaiIndians #DelhiCapitals #GujaratTitans #CSK #RCB #SRH #pbks #LSG #RajasthanRoyals  #ChennaiSuperKings  #CricketTwitter https://t.co/uR1ZWEB7PO"
3867,SG⁷⁷_YBJ⁶⁴,Greater Noida,Fri Nov 01 05:55:39 +0000 2024,8,"💙Shubman Gill, captain of Gujarat Titans, showed true loyalty by placing himself second in the auction—despite being worth over 18 crores!💖
His love for the team speaks louder than money. 🙌 This is what real leadership looks like!! 🏆🔥
#ShubmanGill #CaptainGill #GujaratTitans https://t.co/tvj17dNMVd"
3868,GT Nation,,Mon Nov 25 15:39:03 +0000 2024,7,"Welcome Sherfane Rutherford! 💙

#GujaratTitans #IPL2025 #IPLAuction https://t.co/T3wcEU7peS"
3869,◔‿◔,,Mon Nov 25 20:21:04 +0000 2024,3,"A power-packed..
Squad With #GujaratTitans  💙

#IPLAuction
#ipl2025auction
#IPLAuction2025
#TATAIPLAuction
#IPLAuctionOnJioStar https://t.co/mAVQnY8pHa"
3870,CricInformer,"Varanasi, India",Tue Nov 26 05:39:09 +0000 2024,2,"""Gujarat Titans squad in the IPL Auction 2025""    

#IPL2025 #IPLAuction #IndianCricketTeam #ipl2025auction #cricketnews #Dhoni #CskAuction #GujaratTitans https://t.co/aGh1Qpjn7u"
3871,Republic Sport Fit (R. Sport Fit),"Mumbai, India",Thu Oct 31 12:29:47 +0000 2024,0,"Gujarat Titans IPL 2025 Retentions: Final List Of Retained Players And Remaining Purse Size
.
.
.
.
.
.
.
#GujaratTitans #ipl2025 #IPLRetentions #ipl #cricketnews

https://t.co/HjLjEHOauh"
3872,IndiaTVSports, India,Sun Nov 24 11:10:12 +0000 2024,0,"Gujarat Titans beat PBKS and LSG to sign Jos Buttler for Rs 15.75 crore in IPL 2025 mega auction
#josbuttler #GujaratTitans #ipl #ipl2025megaauction

https://t.co/IZ1pdUdymS"
3873,Cricbuzz,,Mon Dec 02 09:30:00 +0000 2024,35,"12.25 crore for #MohammedSiraj 🔨

#RCB refrain from using RTM ❌

What did the #GujaratTitans think of the deal⁉️

@parthiv9 shares his views alongside @bhogleharsha &amp; @joybhattacharj, on #CricbuzzLive

#IPL2025Auction https://t.co/VAlkuTcyQX"
3874,Gujarat Titans,,Wed Dec 04 07:45:23 +0000 2024,53,"Exclusive rewards, endless motivation. 🔥 Get a chance to watch the team train LIVE! 🌟 Let’s make it yours!

Download the Titans FAM App Now &amp; Sign up with https://t.co/jLOmOFfDed

#GujaratTitans #RaceWithTheTitans #AavaDe #WinterRun https://t.co/bpmXZdJ9xj"
3875,100MB,,Wed Nov 13 11:16:11 +0000 2024,8,"Former Indian batter and wicket-keeper, Parthiv Patel joins the Titans as a part of the support staff team ahead of the mega auction 🙌

#ParthivPatel #GujaratTitans #IPL #IPL2025 https://t.co/6yBddqJ0Uh"
